Name,FeatureId,Kind,Part,Vertex,X,Y,Z
"osm_way_683739407_0_2","osm:way/683739407","green",0,2,-323.15113866089644,-375.5107787622901,-0.00019240676616405494
"osm_way_683739407_0_3","osm:way/683739407","green",0,3,1009.2385828182227,-222.1964315547566,-0.0008359249581424422
"osm_way_683739407_0_4","osm:way/683739407","green",0,4,1600.3286544416003,-471.05673183359613,-0.0021788026408398053
"osm_way_683739407_0_5","osm:way/683739407","green",0,5,5077.854046990276,-815.4771470506226,-0.020703768209706652
"osm_way_683739407_0_6","osm:way/683739407","green",0,6,5042.1253362203015,-1284.3097751113398,-0.021193992496115754
"osm_way_683739407_0_7","osm:way/683739407","green",0,7,3961.438366086462,-1208.7560751075,-0.013430339739173291
"osm_way_683739407_0_8","osm:way/683739407","green",0,8,3830.716922151338,-1148.762489744362,-0.012522015955163113
"osm_way_683739407_0_9","osm:way/683739407","green",0,9,-622.755762533231,-731.0240801597986,-0.0007231717927602688
"osm_way_683739408_0_0","osm:way/683739408","green",0,0,6903.085774283634,-1077.6841623190353,-0.03820969837962096
"osm_way_683739408_0_1","osm:way/683739408","green",0,1,7641.947515490342,-1135.462956149455,-0.046721572181596116
"osm_way_683739408_0_2","osm:way/683739408","green",0,2,7641.943625669217,-1480.977247136774,-0.047431610456794004
"osm_way_683739408_0_3","osm:way/683739408","green",0,3,6859.234917157339,-1698.7206594840252,-0.03909170551334995
"osm_way_683739408_0_4","osm:way/683739408","green",0,4,6903.085774283634,-1077.6841623190353,-0.03820969837962096
